,Away team,Home team,Year,week,Awayscore,Homescore,Nethomepoints,Spread,Aappg,Aappga,Happg,Happga,DAappg,DAappga,DHappg,DHappga,OsbournM,WuM
143,30,24,2001,1,3,30,27,-2.5,0,0,0,0,19.51386071,20.15294377,19.15947807,21.88332205,2.873105501,0.08951455
144,1,30,2002,1,23,31,8,-7,0,0,0,0,19.92730713,20.90176244,18.77556354,20.4969956,2.873105501,1.606198473
145,2,11,2002,1,34,37,3,-7,0,0,0,0,19.80917958,21.24581426,22.73283637,20.12258626,2.873105501,7.527775493
146,3,5,2002,1,7,10,3,2,0,0,0,0,20.16356222,20.11246709,18.68696788,21.57974692,2.873105501,-0.838106597
147,10,15,2002,1,21,49,28,-8,0,0,0,0,19.18900996,21.72141531,21.37436958,20.36544637,2.873105501,6.647005782
148,12,13,2002,1,28,25,-3,3.5,0,0,0,0,23.41206977,22.34880393,19.89777524,20.32496968,2.873105501,1.343374774
149,14,31,2002,1,40,39,-1,-3,0,0,0,0,20.6656043,20.91188161,19.63198826,20.65890233,2.873105501,1.785677846
150,16,6,2002,1,23,27,4,-4.5,0,0,0,0,19.77964769,21.37736349,21.19717826,19.48507847,2.873105501,6.495493107
151,18,28,2002,1,26,20,-6,-6,0,0,0,0,21.04951883,21.56962774,20.78373184,20.26425466,2.873105501,4.0251347
152,20,4,2002,1,37,31,-6,3,0,0,0,0,20.31122166,20.41604223,19.04135052,21.68093863,2.873105501,-0.328189964
153,22,29,2002,1,24,27,3,-1,0,0,0,0,21.34483769,19.53567433,21.13811449,21.35712515,2.873105501,0.740514314
154,23,17,2002,1,14,30,16,2.5,0,0,0,0,21.61062468,19.57615101,22.17173052,20.18330129,2.873105501,3.190910596
155,24,7,2002,1,34,6,-28,-2.5,0,0,0,0,21.01998694,20.67914068,17.88960694,20.55771062,2.873105501,-0.89725651
156,25,21,2002,1,17,31,14,-7,0,0,0,0,20.10449845,20.70949819,22.99862336,20.7398557,2.873105501,6.283866967
157,26,19,2002,1,16,13,-3,3.5,0,0,0,0,23.29394222,20.284493,19.89777524,20.67914068,2.873105501,-1.158040472
158,27,9,2002,1,16,23,7,3,0,0,0,0,26.06993958,20.19342046,21.25624203,20.86128576,2.873105501,-2.48004363
159,2,30,1992,2,17,24,7,-10,20,17,10,23,20.74936622,19.76746871,22.323078,17.6467582,-3.407372296,7.376737073
160,4,26,1992,2,34,31,-3,-3.5,40,7,31,14,26.3844489,18.84082657,23.30516457,17.51381966,-1.037804692,2.238592331
161,6,18,1992,2,6,28,22,-4,27,24,13,15,20.27909016,18.65289796,19.13220601,16.96917535,0.175359246,3.39972405
162,8,19,1992,2,34,28,-6,3,23,10,14,31,20.74056171,18.82140857,17.76310354,19.5989581,-7.542536557,-1.655950404
